ts,run_id,order_id,activity,state,battery_percent,temperature_c,condition_percent,payload_kg,motor_load,speed,distance_delta_m,cumulative_distance_m,cumulative_energy_wh,cumulative_charged_wh
7.0,wp8_planners,,idle,idle,99.993,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0
8.0,wp8_planners,,idle,idle,99.985,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0
9.0,wp8_planners,,idle,idle,99.977,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0
10.0,wp8_planners,,idle,idle,99.97,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0
11.0,wp8_planners,,idle,idle,99.962,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0
12.0,wp8_planners,,idle,idle,99.955,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
13.0,wp8_planners,,idle,idle,99.947,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0
14.0,wp8_planners,,idle,idle,99.939,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0
15.0,wp8_planners,,idle,idle,99.932,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0
16.0,wp8_planners,,idle,idle,99.924,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0166,0.0
17.0,wp8_planners,,idle,idle,99.917,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0183,0.0
18.0,wp8_planners,,idle,idle,99.909,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
19.004,wp8_planners,,idle,idle,99.902,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0217,0.0
20.0,wp8_planners,,idle,idle,99.894,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0233,0.0
21.0,wp8_planners,,idle,idle,99.886,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0
22.0,wp8_planners,,idle,idle,99.879,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0266,0.0
23.004,wp8_planners,,idle,idle,99.871,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0283,0.0
24.0,wp8_planners,,idle,idle,99.864,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
25.0,wp8_planners,,idle,idle,99.856,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0316,0.0
26.0,wp8_planners,,idle,idle,99.849,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0
27.0,wp8_planners,,idle,idle,99.841,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0
28.0,wp8_planners,,idle,idle,99.833,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0366,0.0
29.0,wp8_planners,,idle,idle,99.826,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0383,0.0
30.0,wp8_planners,,idle,idle,99.818,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
31.0,wp8_planners,,idle,idle,99.811,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0416,0.0
32.0,wp8_planners,,idle,idle,99.803,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0433,0.0
33.0,wp8_planners,,idle,idle,99.796,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0
34.0,wp8_planners,,idle,idle,99.788,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0466,0.0
35.0,wp8_planners,,idle,idle,99.78,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0483,0.0
36.0,wp8_planners,,idle,idle,99.773,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
37.0,wp8_planners,,idle,idle,99.765,22.0,99.999,0.0,0.0,0.0,0.0,0.0,0.0516,0.0
38.0,wp8_planners,,idle,idle,99.758,22.0,99.999,0.0,0.0,0.0,0.0,0.0,0.0533,0.0
39.0,wp8_planners,,idle,idle,99.75,22.0,99.999,0.0,0.0,0.0,0.0,0.0,0.055,0.0
40.004,wp8_planners,,idle,idle,99.742,22.0,99.999,0.0,0.0,0.0,0.0,0.0,0.0567,0.0
41.0,wp8_planners,,idle,idle,99.735,22.0,99.999,0.0,0.0,0.0,0.0,0.0,0.0583,0.0
42.0,wp8_planners,,idle,idle,99.727,22.0,99.999,0.0,0.0,0.0,0.0,0.0,0.06,0.0
43.0,wp8_planners,,idle,idle,99.72,22.0,99.999,0.0,0.0,0.0,0.0,0.0,0.0616,0.0
44.0,wp8_planners,,idle,idle,99.712,22.0,99.999,0.0,0.0,0.0,0.0,0.0,0.0633,0.0
45.0,wp8_planners,,idle,idle,99.705,22.0,99.999,0.0,0.0,0.0,0.0,0.0,0.065,0.0
46.0,wp8_planners,,idle,idle,99.697,22.0,99.999,0.0,0.0,0.0,0.0,0.0,0.0666,0.0
47.0,wp8_planners,,idle,idle,99.689,22.002,99.999,0.0,0.062,0.034,0.0015,0.002,0.0683,0.0
48.0,wp8_planners,,idle,idle,99.674,22.034,99.999,0.0,0.853,0.475,0.3309,0.332,0.0716,0.0
49.0,wp8_planners,,idle,idle,99.656,22.066,99.999,0.0,0.881,0.491,0.4788,0.811,0.0757,0.0
50.0,wp8_planners,,idle,idle,99.637,22.1,99.999,0.0,0.897,0.5,0.4822,1.294,0.0798,0.0
51.0,wp8_planners,,idle,idle,99.618,22.132,99.999,0.0,0.89,0.496,0.4974,1.791,0.0839,0.0
52.0,wp8_planners,,idle,idle,99.6,22.164,99.999,0.0,0.854,0.476,0.4889,2.28,0.088,0.0
53.0,wp8_planners,,idle,idle,99.581,22.196,99.999,0.0,0.871,0.485,0.4866,2.766,0.0921,0.0
54.0,wp8_planners,,idle,idle,99.563,22.229,99.999,0.0,0.897,0.5,0.4786,3.245,0.0962,0.0
55.0,wp8_planners,,idle,idle,99.544,22.262,99.999,0.0,0.891,0.496,0.4975,3.743,0.1004,0.0
56.0,wp8_planners,,idle,idle,99.525,22.292,99.999,0.0,0.838,0.467,0.4956,4.238,0.1045,0.0
57.0,wp8_planners,,idle,idle,99.507,22.323,99.999,0.0,0.847,0.472,0.4483,4.686,0.1084,0.0
58.0,wp8_planners,,idle,idle,99.489,22.352,99.999,0.0,0.789,0.439,0.4762,5.163,0.1125,0.0
59.0,wp8_planners,,idle,idle,99.471,22.384,99.999,0.0,0.86,0.479,0.4585,5.621,0.1164,0.0
60.0,wp8_planners,,idle,idle,99.452,22.416,99.999,0.0,0.891,0.496,0.4975,6.119,0.1206,0.0
61.0,wp8_planners,,idle,idle,99.433,22.449,99.999,0.0,0.897,0.5,0.5018,6.62,0.1247,0.0
62.0,wp8_planners,,idle,idle,99.414,22.481,99.999,0.0,0.895,0.499,0.5013,7.122,0.1289,0.0
63.0,wp8_planners,,idle,idle,99.395,22.514,99.999,0.0,0.894,0.498,0.4842,7.606,0.133,0.0
64.0,wp8_planners,,idle,idle,99.376,22.547,99.999,0.0,0.897,0.5,0.5035,8.11,0.1372,0.0
65.0,wp8_planners,,idle,idle,99.359,22.571,99.999,0.0,0.683,0.381,0.448,8.558,0.1411,0.0
66.0,wp8_planners,,idle,idle,99.348,22.571,99.999,0.0,0.0,0.0,0.1525,8.71,0.1435,0.0
67.0,wp8_planners,,idle,idle,99.34,22.573,99.999,0.0,0.082,0.046,0.0018,8.712,0.1452,0.0
68.0,wp8_planners,,idle,idle,99.33,22.581,99.999,0.0,0.22,0.122,0.1183,8.83,0.1475,0.0
69.0,wp8_planners,,idle,idle,99.32,22.58,99.999,0.0,0.008,0.004,0.0797,8.91,0.1495,0.0
